regime,n,rate,metric,mean_log2_rank,median_log2_rank,p95_log2_rank,mean_normalized_rank,median_oracle_overhead_bits,p95_oracle_overhead_bits,mean_effective_log2_queries,mean_bler_proxy
BURSTY_RARE,32,0.875,ORACLE_MARKOV,1.527587731596949,0.0,7.768184324776928,0.04773711661240466,0.0,0.0,0.7778602336311985,0.1850421597042046
BURSTY_RARE,64,0.75,EMPIRICAL_ML1,7.12621787318611,2.584962500721156,19.16215893227935,0.11134715426853296,2.584962500721156,4.522616175272015,6.664188230817461,0.11939934577189373
BURSTY_RARE,64,0.75,FIT_16,6.146500005294763,0.0,21.78590311778114,0.09603906258273068,0.0,7.497251826564887,4.993383292827368,0.14631674517040863
BURSTY_RARE,64,0.75,FIT_512,4.323783860406502,0.0,15.488872761883313,0.0675591228188516,0.0,0.10500159101949706,4.145027470913606,0.06791195346964007
BURSTY_RARE,64,0.75,FIT_64,5.187651649914952,0.0,19.776520803304624,0.08105705702992112,0.0,4.423303491745765,4.618728846786046,0.10227782040032858
BURSTY_RARE,64,0.75,KT0_MEMORYLESS,12.093887029432384,1.0,46.97929243773425,0.188966984834881,1.0,29.551010816365345,6.914771453138189,0.3341037045842882
BURSTY_RARE,64,0.75,KT1_UNIVERSAL,6.055541463108066,1.0,18.809701986212065,0.09461783536106354,1.0,4.077688768435128,5.620113712888795,0.11519968846652481
BURSTY_RARE,64,0.75,ORACLE_MARKOV,4.27788934810594,0.0,15.52938965108208,0.06684202106415531,0.0,0.0,4.092523006675822,0.06664819821789249
BURSTY_RARE,64,0.875,EMPIRICAL_ML1,7.12621787318611,2.584962500721156,19.16215893227935,0.11134715426853296,2.584962500721156,4.522616175272015,4.952747926933462,0.4236861233105905
BURSTY_RARE,64,0.875,FIT_16,6.146500005294763,0.0,21.78590311778114,0.09603906258273068,0.0,7.497251826564887,3.341261919951316,0.32755618936911707
BURSTY_RARE,64,0.875,FIT_512,4.323783860406502,0.0,15.488872761883313,0.0675591228188516,0.0,0.10500159101949706,3.173922969560831,0.29946358874760126
BURSTY_RARE,64,0.875,FIT_64,5.187651649914952,0.0,19.776520803304624,0.08105705702992112,0.0,4.423303491745765,3.3174456415680256,0.32680271291447377
BURSTY_RARE,64,0.875,KT0_MEMORYLESS,12.093887029432384,1.0,46.97929243773425,0.188966984834881,1.0,29.551010816365345,4.013618390651422,0.40948467426975055
BURSTY_RARE,64,0.875,KT1_UNIVERSAL,6.055541463108066,1.0,18.809701986212065,0.09461783536106354,1.0,4.077688768435128,4.0010768648270485,0.39424810413776656
BURSTY_RARE,64,0.875,ORACLE_MARKOV,4.27788934810594,0.0,15.52938965108208,0.06684202106415531,0.0,0.0,3.133148613554387,0.29414537793550954
BURSTY_RARE,128,0.75,EMPIRICAL_ML1,13.805679478653857,13.635532935155675,27.609231642155823,0.10785687092698326,2.584962500721156,4.19852436915141,13.5167648641409,0.03508634902316344
BURSTY_RARE,128,0.75,FIT_16,14.392274848150617,15.110754514040455,38.120079378347704,0.1124396472511767,0.0,14.244171784194513,13.47546914880058,0.08536029954208733
BURSTY_RARE,128,0.75,FIT_512,11.617525474984756,10.541096290432765,24.8831620261089,0.0907619177733184,0.0,3.6750753573982182,11.332962200022196,0.026342230617613777
BURSTY_RARE,128,0.75,FIT_64,12.702694778458639,13.22099943572027,31.571480126094766,0.09923980295670812,0.0,5.830704061817948,12.219121306170303,0.05355650142612787
BURSTY_RARE,128,0.75,KT0_MEMORYLESS,31.135983292377386,26.71561401904758,77.95157731933753,0.24324986947169833,12.509035675520707,59.41473936180948,19.85951794224945,0.4425964945059689
BURSTY_RARE,128,0.75,KT1_UNIVERSAL,13.15392032996761,12.358613123435054,27.528642253071506,0.10276500257787195,2.086128608229906,3.9245606146507197,12.863124029031008,0.03545261628871735
BURSTY_RARE,128,0.75,ORACLE_MARKOV,11.04083021103563,10.352782447217674,24.23959989844567,0.08625648602371586,0.0,0.0,10.831846510807122,0.026086670568784876
BURSTY_RARE,128,0.875,EMPIRICAL_ML1,13.805679478653857,13.635532935155675,27.609231642155823,0.10785687092698326,2.584962500721156,4.19852436915141,10.80962701767059,0.40686209487265035
BURSTY_RARE,128,0.875,FIT_16,14.392274848150617,15.110754514040455,38.120079378347704,0.1124396472511767,0.0,14.244171784194513,10.034812985967026,0.478571918834402
